,MEF
0,162.46696829382282
1,162.46696829382282
2,162.46696829382282
3,162.46696829382282
4,140.6428696970472
5,140.6428696970472
6,140.6428696970472
7,140.6428696970472
8,141.4807090766811
9,141.4807090766811
10,141.4807090766811
11,141.4807090766811
12,129.73405972223648
13,129.73405972223648
14,129.73405972223648
15,129.73405972223648
16,109.41846641600651
17,109.41846641600651
18,109.41846641600651
19,109.41846641600651
20,128.85452457829786
21,128.85452457829786
22,128.85452457829786
23,128.85452457829786
24,163.5775679456445
25,163.5775679456445
26,163.5775679456445
27,163.5775679456445
28,146.0643445457929
29,146.0643445457929
30,146.0643445457929
31,146.0643445457929
32,162.16446756874114
33,162.16446756874114
34,162.16446756874114
35,162.16446756874114
36,153.1997422671376
37,153.1997422671376
38,153.1997422671376
39,153.1997422671376
40,130.28774310104177
41,130.28774310104177
42,130.28774310104177
43,130.28774310104177
44,132.40435233689658
45,132.40435233689658
46,132.40435233689658
47,132.40435233689658
48,130.08725507359586
49,130.08725507359586
50,130.08725507359586
51,130.08725507359586
52,112.58597215640192
53,112.58597215640192
54,112.58597215640192
55,112.58597215640192
56,124.48674725907536
57,124.48674725907536
58,124.48674725907536
59,124.48674725907536
60,110.73983918663231
61,110.73983918663231
62,110.73983918663231
63,110.73983918663231
64,165.64530114413176
65,165.64530114413176
66,165.64530114413176
67,165.64530114413176
68,133.5044000534436
69,133.5044000534436
70,133.5044000534436
71,133.5044000534436
72,193.6677035970434
73,193.6677035970434
74,193.6677035970434
75,193.6677035970434
76,166.0382622385705
77,166.0382622385705
78,166.0382622385705
79,166.0382622385705
80,174.99600207220456
81,174.99600207220456
82,174.99600207220456
83,174.99600207220456
84,146.16063821068394
85,146.16063821068394
86,146.16063821068394
87,146.16063821068394
88,81.37294550298364
89,81.37294550298364
90,81.37294550298364
91,81.37294550298364
92,140.04336595163946
93,140.04336595163946
94,140.04336595163946
95,140.04336595163946
